pc11_state_id,pc11_district_id,year,roads_completed,road_length_km
08,115,2011,1,1
08,115,2012,13,37.79
08,115,2013,12,35.5
08,115,2014,10,34.75
08,116,2002,3,0
08,116,2003,10,36
08,116,2004,21,87.83
08,116,2005,21,103.55
08,116,2006,10,27.35
08,116,2007,35,97.910000000000025
08,116,2008,30,90.75
08,116,2009,2,0
08,116,2011,1,0
08,116,2012,3,8.33
08,116,2013,30,113.41999999999999
08,116,2014,7,23.6
08,117,2000,1,3
08,117,2002,5,15.6
08,117,2003,2,4.15
08,117,2004,21,82.93
08,117,2005,9,61.75
08,117,2006,26,96.97000000000001
08,117,2007,30,87.03
08,117,2008,12,23.220000000000002
08,117,2009,1,4.35
08,117,2011,1,0.9
08,117,2013,2,6.6
08,117,2014,5,10.7
08,118,2004,8,20.650000000000002
08,118,2005,38,161.51000000000002
08,118,2006,39,155.03000000000003
08,118,2007,68,235.85
08,118,2008,61,159.55
08,118,2009,9,25.75
08,118,2010,3,20
08,118,2011,1,0
08,118,2012,2,7.6
08,118,2013,9,21.3
08,118,2014,9,22.2
08,119,2002,2,13
08,119,2003,1,2.4
08,119,2004,19,73.89
08,119,2005,20,82.95999999999998
08,119,2006,23,89.10999999999999
08,119,2007,74,215.11999999999992
08,119,2008,25,55.769999999999996
08,119,2012,3,12.200000000000001
08,119,2013,7,19.2
08,120,2002,6,32.1
08,120,2003,6,20.42
08,120,2004,28,123.60000000000002
08,120,2005,32,124.98000000000002
08,120,2007,142,503.85999999999984
08,120,2008,4,19.55
08,120,2009,1,3.65
08,120,2010,1,0
08,121,2003,8,41.6
08,121,2004,16,55.35
08,121,2005,26,109.27999999999999
08,121,2006,17,49.980000000000004
08,121,2007,84,265.93
08,121,2008,32,94.98999999999997
08,121,2009,9,31.03
08,121,2010,4,17.45
08,121,2012,5,23.57
08,121,2013,1,1.1
08,122,2002,18,53.300000000000004
08,122,2004,69,254.76999999999998
08,122,2005,30,110.52000000000002
08,122,2006,91,314.00000000000006
08,122,2007,163,500.2299999999997
08,122,2008,23,72.30000000000001
08,122,2009,1,5.8
08,122,2010,1,0
08,122,2012,11,14.08
08,122,2013,2,12.6
08,122,2014,84,330.28999999999996
08,123,2001,1,0
08,123,2002,1,6.4
08,123,2003,1,0
08,123,2004,14,46.26
08,123,2005,9,20.819999999999997
08,123,2006,17,31.739999999999995
08,123,2007,134,469.28999999999985
08,123,2008,43,97.48000000000003
08,123,2009,14,39.190000000000005
08,123,2011,34,457.15999999999997
08,123,2012,3,45.75
08,123,2013,22,59.160000000000004
08,123,2014,16,91.49000000000001
08,124,2002,21,38.15
08,124,2004,26,87.94000000000001
08,124,2005,12,39.81
08,124,2006,20,47.690000000000005
08,124,2007,102,266.98
08,124,2008,84,175.82000000000002
08,124,2009,54,28.819999999999993
08,124,2010,5,12.28
08,124,2013,15,34.95
08,124,2014,14,37.26
08,125,2002,6,8.5
08,125,2003,22,70.16999999999999
08,125,2004,43,131.59
08,125,2005,9,26.81
08,125,2006,43,131.01000000000002
08,125,2007,121,345.8
08,125,2008,210,523.5100000000001
08,125,2009,59,92.3
08,125,2010,8,18.189999999999998
08,125,2012,13,25.45
08,125,2013,64,139.70000000000002
08,125,2014,6,14.05
08,126,2004,12,38.61
08,126,2005,25,116.99000000000001
08,126,2006,44,151.58000000000004
08,126,2007,125,382.2900000000002
08,126,2008,27,85.36
