pc11_state_id,pc11_district_id,tot_p_11,sc_p_11,st_p_11,lit_p_11,workers_p_11,sc_share_11,st_share_11,lit_rate_11,lfp_rate_11,tot_p_01,sc_p_01,st_p_01,lit_p_01,workers_p_01,sc_share_01,st_share_01,lit_rate_01,lfp_rate_01
09,158,3405559,1030367,1756,1965843,1204710,0.30255444113580177,5.156275372119526e-4,0.5772453215463306,0.353748092457068,2872152,856749,1802,1259462,1023445,0.2982951459393514,6.274041206732791e-4,0.43850812909623166,0.35633385698249953
09,159,1885204,312712,230,1092677,592267,0.16587700853594625,1.220027116428779e-4,0.5796067693469779,0.31416600007214074,1568113,257980,911,779788,461895,0.16451620514593018,5.809530308083665e-4,0.4972779385159105,0.29455466538444613
09,160,1656616,309980,15,1017087,524676,0.187116386658103,9.05460287719061e-6,0.61395459177021106,0.316715521279524,1387313,255920,47,697897,457072,0.18447170897987691,3.387843983297208e-5,0.5030566281725898,0.32946566492204715
09,161,1581810,388283,169,1062003,506072,0.24546753402747484,1.068396330785619e-4,0.6713846795759288,0.3199322295345206,1337472,313119,16,765629,368067,0.2341125645994832,1.1962867260024883e-5,0.5724448810890994,0.27519604148722365
09,162,1379545,391622,150,930836,442023,0.2838776553138897,1.087315020532132e-4,0.6747413096346984,0.3204121648804497,1178356,325657,68,679717,387552,0.2763655465750588,5.770751793176256e-5,0.5768350142062331,0.3288921174925065
09,163,1796184,460544,801,1170243,628864,0.25640134863688796,4.459454042570249e-4,0.6515162143744739,0.35011112447277115,1562572,388335,382,851880,512911,0.2485229480625533,2.444687348806967e-4,0.5451780781941569,0.3282479143361074
09,164,4581268,816754,3753,3243022,1572232,0.17828120948174173,8.192055125349576e-4,0.7078874233072591,0.3431870827028674,4167669,685808,2051,2659644,1247715,0.1645543348092183,4.921216152242417e-4,0.6381610439792603,0.299379581247935
09,165,1689974,468178,832,1075196,620764,0.2770326644078548,4.923152663887137e-4,0.6362204388943262,0.3673216274333215,1454270,393265,140,781916,522809,0.27042089845764544,9.626823079620704e-5,0.5376690710803358,0.35949926767381574
09,166,1998603,562505,3873,1304513,814914,0.28144909219089537,0.0019378535907331271,0.6527124196251082,0.4077418076526454,1699553,475432,1065,934760,631506,0.2797394373697084,6.266353564731433e-4,0.5500034420815355,0.37157181917833687
09,167,1221592,240519,71610,641191,503351,0.19688979626585637,0.05862022672054172,0.5248814661523651,0.4120451018015835,977286,243736,2,384364,422078,0.24940089185765477,2.0464838338009547e-6,0.39329735614753514,0.4318879018015197
09,168,1104285,241198,474,653299,443655,0.21842006366110198,4.2923701761773454e-4,0.5916036168199332,0.4017576984202448,993620,224416,166,469682,387313,0.22585696745234596,1.6706588031641876e-4,0.47269781204082045,0.3897999235120066
09,169,875958,220898,647,488106,349676,0.25217875742900914,7.386198881681542e-4,0.5572253464207187,0.3991926553556221,758098,195999,65,326376,320914,0.2585404525536276,8.574089365754823e-5,0.43051953705193785,0.4233146638033605
09,170,1799410,387855,163,1002937,701689,0.21554565107451887,9.05852473866434e-5,0.5573699156945888,0.3899550408189351,1501480,311663,34,654019,602418,0.20757053040999546,2.26443242667235e-5,0.43558289154700697,0.4012161334150305
09,171,991730,266655,366,531072,394197,0.2688786262389965,3.6905206054067136e-4,0.5355005898782935,0.3974841942867514,800389,210105,21,409116,340266,0.2625036076207944,2.6237242141008934e-5,0.5111464550362387,0.4251257825882165
09,172,2632733,651480,340,1512166,1063929,0.2474538815747742,1.2914336546850745e-4,0.5743711952560324,0.40411579905748135,2288885,574181,467,1052247,863892,0.25085620291102434,2.0402947286560924e-4,0.4597203441850508,0.3774291849524987
09,173,3209141,709252,723,1931559,1066601,0.22100992134655348,2.2529393379723734e-4,0.6018928429757371,0.3323633956875064,2730420,600986,159,1278002,915427,0.22010752924458507,5.8232799349550616e-5,0.4680605914108452,0.33526966547271114
09,174,1599596,555397,193,813424,639086,0.3472107957259208,1.2065546550504002e-4,0.5085184008962264,0.39952963123188606,1290557,465771,86,480530,505703,0.3609069572285455,6.663789356068736e-5,0.3723431045664779,0.39184863589907304
09,175,5954391,1309851,7955,3665727,2111907,0.21998068316306404,0.0013359888525963444,0.6156342437035123,0.35468060461598844,4931129,1062876,4247,2504919,1669369,0.21554414820622214,8.612632117310255e-4,0.5079808295422813,0.33853687461836834
09,176,3260699,864559,610,1692458,1192850,0.2651452955332584,1.8707645201228326e-4,0.5190476029832867,0.3658264684964788,2661362,718075,456,1018840,979351,0.2698148541987148,1.7134083976550352e-4,0.38282653769010005,0.3679886464148808
09,177,2470996,555047,931,1450901,831209,0.22462480716277972,3.767711481524049e-4,0.5871725409510983,0.33638621835081883,2085608,471494,190,958968,822417,0.2260702874173862,9.11005327942739e-5,0.45980260911925924,0.39432961515299136
