pc11_state_id,pc11_district_id,emp_all,count_all,emp_manuf,emp_services,census_year
05,066,26144.888972146444,11318.86646919015,4311.8767723127,21823.012199833745,1998
05,066,65199,26437,11494,53626,2005
05,066,74499,28741,10267,63158,2013
05,067,56489,19191,23898,32555,1990
05,067,71893.65482233503,25835.83502538071,26330.030456852794,45463.62436548223,1998
05,067,93688,42016,26496,66847,2005
05,067,184551,53074,85371,97580,2013
05,068,76834,28484,26477,50297,1990
05,068,96839,40274,32889,63884,1998
05,068,138165,54255,51687,85731,2005
05,068,270248,80547,139595,129626,2013
06,069,21242,7027,8998,11773,1990
06,069,29941.065308941823,8367.248523808463,12686.606124245192,17214.45918469663,1998
06,069,25881.897819692953,13197.033751866129,6510.200583791974,18742.21165801377,2005
06,069,54127,17410,15846,38253,2013
06,070,60730,26678,19452,41231,1990
06,070,52893.57740278797,23366.989728539986,15684.554658840792,37174.02274394718,1998
06,070,88975.15917545625,42357.050899382906,19320.554641340976,69277.59648124644,2005
06,070,118474,45301,31218,87183,2013
06,071,75230.91657020745,27734.41768319829,36142.527735731455,38922.26978897694,1990
06,071,81839,31857,36026,45580,1998
06,071,100708.16732380484,42422.496467882374,39351.82536553311,60434.341958271725,2005
06,071,130297,51945,43846,86424,2013
06,072,23098,10420,9716,13336,1990
06,072,77671,34607,18332,59280,1998
06,072,92140,43094,20335,71564,2005
06,072,107460,49576,20872,86537,2013
06,073,46280,21494,15068,31139,1990
06,073,47539,21201,13607,33932,1998
06,073,78263,39745,21940,56244,2005
06,073,98621,45118,24567,70101,2013
06,074,62368,25421,21595,40742,1990
06,074,64766.448363921736,28176.54920374778,19915.398494643236,44841.96829732531,1998
06,074,90057,44536,22015,67958,2005
06,074,126283,53893,30877,95327,2013
06,075,77366,22553,23351,53953,1990
06,075,96869.41512054217,25233.039906677033,29872.594622819688,66987.82049772248,1998
06,075,119797,37978,48999,70455,2005
06,075,182032,57080,57649,111774,2013
06,076,73726,21623,36711,36895,1990
06,076,67365,21186,27069,40286,1998
06,076,119254,35732,52394,66773,2005
06,076,160091,47272,56004,97673,2013
06,077,52809,22520,16277,36408,1990
06,077,48897,22431,11412,37461,1998
06,077,75382,37079,16601,58694,2005
06,077,94452,48149,22568,71445,2013
06,078,33176,15650,9113,24061,1990
06,078,34646,15664,8897,25736,1998
06,078,62395,30082,19175,42543,2005
06,078,76265,37772,17277,58957,2013
06,079,59292,24994,15810,43459,1990
06,079,75896,30946,15360,60510,1998
06,079,87232,38913,17537,69291,2005
06,079,128288,47370,26673,101546,2013
06,080,69961,28861,22163,47785,1990
06,080,74190,31453,16589,57530,1998
06,080,105667,48422,25172,80267,2005
06,080,145419,61472,35456,109855,2013
06,081,49948,22184,14233,34957,1990
06,081,50369,20962,12526,37775,1998
06,081,82612,38794,21371,59645,2005
06,081,110403,47655,22402,87884,2013
06,082,45104,19248,13764,31314,1990
06,082,60845.96094692909,20563.79164391043,17603.546692423355,43210.28326287329,1998
06,082,78305.15320204683,35506.84586757637,17007.434641029617,61198.123585051944,2005
06,082,97334,39535,27635,69615,2013
06,083,35078,9943,18502,16501,1990
06,083,42472,13125,20252,22220,1998
06,083,83882,22377,46621,37197,2005
06,083,109307,33472,46263,62936,2013
06,084,28538,14980,6859,21479,1990
06,084,37189,17991,7668,29451,1998
06,084,45962,23922,10459,35083,2005
06,084,69294,33951,9214,56825,2013
06,085,40556,15345,13356,26382,1990
06,085,50361,20319,18721,31340,1998
06,085,69589,26040,26304,43084,2005
06,085,101215,30541,47304,53539,2013
06,086,15344.033986980849,7272.516993490424,4460.348719604046,10391.685267376803,1990
06,086,85354.75482449857,23835.622098289485,41563.94707589967,43780.80774859889,1998
06,086,141993.7881744579,33832.955517391056,56999.192839753145,84910.83289297375,2005
06,086,605425,60922,343018,262116,2013
06,087,15381,8638,5228,9769,1990
06,087,19304,9471,5931,13280,1998
06,087,37316,17524,11774,25352,2005
06,087,40818,18309,9439,31133,2013
06,088,7871,3101,3713,4156,1990
06,088,165296,34216,102610,62675,1998
06,088,204649,55027,107853,94552,2005
06,088,225510,59142,117830,106953,2013
06,089,24488,11678,7304,17176,1990
06,089,31419,12810,10054,21310,1998
06,089,49605,20270,17023,32359,2005
06,089,64684,25216,17420,47113,2013
07,090,9455930.237776697,1877510.448592884,4144588.020260857,5311315.729282508,1998
07,090,7701442.080917814,1694740.6211526154,2475749.571793144,5219627.294828417,2005
07,090,285336,92841,91733,193539,2013
07,091,9455930.237776697,1877510.448592884,4144588.020260857,5311315.729282508,1998
07,091,7701442.080917814,1694740.6211526154,2475749.571793144,5219627.294828417,2005
07,091,316420,72545,177279,139108,2013
07,092,9455930.237776697,1877510.448592884,4144588.020260857,5311315.729282508,1998
07,092,7701442.080917814,1694740.6211526154,2475749.571793144,5219627.294828417,2005
07,092,181905,85849,77322,104561,2013
07,093,9455930.237776697,1877510.448592884,4144588.020260857,5311315.729282508,1998
07,093,7701442.080917814,1694740.6211526154,2475749.571793144,5219627.294828417,2005
07,093,214050,79353,55864,158136,2013
07,094,9455930.237776697,1877510.448592884,4144588.020260857,5311315.729282508,1998
07,094,7701442.080917814,1694740.6211526154,2475749.571793144,5219627.294828417,2005
07,094,268427,37891,70465,197913,2013
07,095,9455930.237776697,1877510.448592884,4144588.020260857,5311315.729282508,1998
07,095,7701442.080917814,1694740.6211526154,2475749.571793144,5219627.294828417,2005
07,095,597710,149975,219865,377798,2013
07,096,9455930.237776697,1877510.448592884,4144588.020260857,5311315.729282508,1998
07,096,7701442.080917814,1694740.6211526154,2475749.571793144,5219627.294828417,2005
07,096,312807,106352,91948,220822,2013
07,097,9455930.237776697,1877510.448592884,4144588.020260857,5311315.729282508,1998
07,097,7701442.080917814,1694740.6211526154,2475749.571793144,5219627.294828417,2005
07,097,102615,41023,20809,81778,2013
07,098,9455930.237776697,1877510.448592884,4144588.020260857,5311315.729282508,1998
07,098,7701442.080917814,1694740.6211526154,2475749.571793144,5219627.294828417,2005
07,098,143780,56539,20862,122898,2013
08,099,55976,26981,12949,42985,1990
08,099,90546.95454545454,40594.2,17880.00909090909,72665.94545454546,1998
08,099,117882.10852090032,53822.427652733124,30915.12459807074,86056.93167202572,2005
08,099,182700,76041,45266,137247,2013
08,100,32845,16851,7782,25038,1990
08,100,60539,29007,13062,47415,1998
08,100,91250,44972,28102,63073,2005
08,100,135967,60409,42701,92995,2013
08,101,69172,27459,15247,53459,1990
08,101,82054.08899920722,38859.78589225716,18458.41324700819,63510.67575219903,1998
08,101,117807.4416172751,56949.24042055193,30377.709615312015,86886.71909094341,2005
08,101,180796,86508,46492,133271,2013
08,102,19820.33186653715,12459.54445445715,4923.848151485716,14789.483715051436,1990
08,102,57219.7546805544,33809.99626985735,12045.035680661655,45011.71512674143,1998
08,102,91329.96387839496,52564.53386325989,20615.210747101097,70302.75313129387,2005
08,102,139319,80816,28899,109632,2013
08,103,43316.738665707235,21086.655971773533,12681.697329070252,30414.041336636983,1990
08,103,92913.67087587318,45363.35626007523,19103.10934981193,73511.56152606125,1998
08,103,94767,50155,22789,71642,2005
08,103,139658,67064,28313,110770,2013
08,104,102072.25714583768,45178.80794909243,34582.665658251615,65941.59148758606,1990
08,104,153257,65319,51007,100818,1998
08,104,185648.0357142857,77345.42857142857,70385,114230.03571428571,2005
08,104,327691,118292,114312,211612,2013
08,105,74325,34964,21290,52167,1990
08,105,98575,51483,22751,75502,1998
08,105,115812,58589,30862,83760,2005
08,105,161335,80740,41260,118744,2013
08,106,27378,14408,6490,20165,1990
08,106,31332,16393,8945,22365,1998
08,106,39581,20554,12975,26062,2005
08,106,61493,29657,16207,44704,2013
08,107,19669,10562,4862,12551,1990
08,107,43674,23766,8765,34683,1998
08,107,43766,22994,13413,30290,2005
08,107,65294,32628,11704,52990,2013
08,108,30502,17377,8855,21516,1990
08,108,54299.70367071261,30123.090965152704,11034.218598277212,43216.48188136257,1998
08,108,56413.35743931089,33239.446769772905,12114.025538371183,43998.322327721224,2005
08,108,79079,41397,13696,65081,2013
08,109,31249.189067999832,16476.78916029377,9152.6553225992,21998.533745400633,1990
08,109,46511.86279231378,25031.78728768363,10932.441763498555,35483.4031869677,1998
08,109,73071,37211,21300,50982,2005
08,109,109311,53101,25168,79334,2013
08,110,73112.00551199442,38009.75646300753,28703.799239189502,43233.206272804906,1990
08,110,354455.97212543554,130390.04529616726,99785.99303135888,248743.93728222995,1998
08,110,483693.58800970495,176540.30633168976,144601.089066291,337516.49401267903,2005
08,110,810320,270055,234894,569285,2013
08,111,64638.51417804642,34385.52238638907,18912.106372658756,45392.40780538766,1990
08,111,96147,50606,20912,75176,1998
08,111,137014,76052,33554,102834,2005
08,111,228423,109118,50653,174768,2013
08,112,61723.50951283336,32838.510371927696,26108.15984387528,34403.34966895808,1990
08,112,113320,59791,28534,77393,1998
08,112,130496,69400,30725,92616,2005
08,112,185638,93385,34773,148557,2013
08,113,101368,39941,29261,69766,1990
08,113,145705,62175,37961,102664,1998
08,113,180367,79366,58665,119296,2005
08,113,216712,95328,57361,155681,2013
08,114,14889,7476,2774,11368,1990
08,114,18646,8014,3190,15248,1998
08,114,23363,11454,5109,17233,2005
08,114,30673,14906,6137,23655,2013
08,115,49387,22064,11814,36207,1990
08,115,59705,26767,16939,42398,1998
