pc11_state_id,pc11_district_id,year,dmsp_total_light_cal,roads_completed,road_length_km,tot_p,sc_share,st_share,lit_rate,lfp_rate,ec_emp_all,ec_count_all,ec_emp_manuf,ec_emp_services,winning_party,incumbent_won
18,317,2003,3721.1595458984375,6,18.08,1007587,0.12995403870831998,0.00287915584460696,0.5458982698268239,0.3008464777731352,57244,19432,17829,38760,INC,No
18,317,2004,4331.975341796875,21,44.57000000000001,1007587,0.12995403870831998,0.00287915584460696,0.5458982698268239,0.3008464777731352,57244,19432,17829,38760,INC,No
18,317,2005,3409.4644775390625,6,18.9,1007587,0.12995403870831998,0.00287915584460696,0.5458982698268239,0.3008464777731352,65425,39291,11449,52267,INC,No
18,317,2006,3179.9412841796875,18,61.900000000000006,1007587,0.12995403870831998,0.00287915584460696,0.5458982698268239,0.3008464777731352,65425,39291,11449,52267,INC,Yes
18,317,2007,5292.489990234375,NA,NA,1007587,0.12995403870831998,0.00287915584460696,0.5458982698268239,0.3008464777731352,65425,39291,11449,52267,INC,Yes
18,317,2008,4537.1630859375,4,26.41,1007587,0.12995403870831998,0.00287915584460696,0.5458982698268239,0.3008464777731352,65425,39291,11449,52267,INC,Yes
18,317,2009,4949.72802734375,22,46.87000000000001,1007587,0.12995403870831998,0.00287915584460696,0.5458982698268239,0.3008464777731352,65425,39291,11449,52267,INC,Yes
18,317,2010,8394.216796875,10,29.940000000000005,1007587,0.12995403870831998,0.00287915584460696,0.5458982698268239,0.3008464777731352,65425,39291,11449,52267,INC,Yes
18,317,2011,7457.60009765625,15,32.44,1228686,0.1285031326148422,0.00157892252373674,0.6472744053403392,0.3248763313002671,65425,39291,11449,52267,INC,Yes
18,317,2012,7081.6669921875,36,165.5,1228686,0.1285031326148422,0.00157892252373674,0.6472744053403392,0.3248763313002671,65425,39291,11449,52267,INC,Yes
18,317,2013,6807.84619140625,13,58.6,1228686,0.1285031326148422,0.00157892252373674,0.6472744053403392,0.3248763313002671,183429,83151,15771,161869,INC,Yes
18,318,1994,2266.68505859375,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,21362,8629,5367,15884,INC,No
18,318,1995,2662.15234375,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,21362,8629,5367,15884,INC,No
18,318,1996,3140.974853515625,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,21362,8629,5367,15884,AGP,No
18,318,1997,2955.4576416015625,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,21362,8629,5367,15884,AGP,No
